10798 16 4
-31249.28	7568.226	13046.74	-178.0852	-63.91493	131.1642	0.01548687	0.9333665	0.033423	-1476	0	0	7568.226	6738.827	33375.8	29753.54	10	0	0	0
-31252.84	7566.948	13049.36	-178.0852	-63.91458	131.1642	0.01548683	0.9333665	0.03342301	-1476	0	0	7566.948	6737.041	33379.71	29748.82	10	0	0	0
-31256.41	7565.669	13051.99	-178.0852	-63.91423	131.1642	0.01548683	0.9333666	0.03342304	-1476	0	0	7565.669	6735.224	33383.62	29744.1	10	0	0	0
-31259.97	7564.391	13054.61	-178.0851	-63.91389	131.1641	0.01548683	0.9333666	0.03342304	-1476	0	0	7564.391	6733.407	33387.54	29739.38	10	0	0	0
-31263.53	7563.113	13057.23	-178.0851	-63.91354	131.1641	0.01548676	0.9333666	0.03342303	-1476	0	0	7563.113	6731.59	33391.45	29734.67	10	0	0	0
-31267.09	7561.834	13059.85	-178.0851	-63.9132	131.1641	0.01548673	0.9333666	0.03342304	-1476	0	0	7561.834	6729.773	33395.36	29729.95	10	0	0	0
-31270.66	7560.556	13062.48	-178.0851	-63.91286	131.1641	0.01548673	0.9333666	0.03342304	-1476	0	0	7560.556	6727.956	33399.28	29725.23	10	0	0	0
-31274.22	7559.278	13065.1	-178.085	-63.91251	131.164	0.0154867	0.9333666	0.03342305	-1476	0	0	7559.278	6726.287	33403.2	29720.51	10	0	0	0
-31277.78	7558	13067.72	-178.085	-63.91217	131.164	0.01548669	0.9333666	0.03342306	-1476	0	0	7558	6724.808	33407.11	29715.79	10	0	0	0
-31281.34	7556.721	13070.35	-178.085	-63.91183	131.164	0.01548669	0.9333667	0.03342309	-1476	0	0	7556.721	6723.33	33411.02	29711.07	10	0	0	0
-31284.91	7555.443	13072.97	-178.0849	-63.91148	131.164	0.0154867	0.9333667	0.03342314	-1476	0	0	7555.443	6721.851	33414.94	29706.35	10	0	0	0
-31288.47	7554.165	13075.59	-178.0849	-63.91114	131.1639	0.0154867	0.9333667	0.03342314	-1476	0	0	7554.165	6720.372	33418.86	29701.63	10	0	0	0
-31292.03	7552.886	13078.22	-178.0849	-63.9108	131.1639	0.01548654	0.9333667	0.03342314	-1476	0	0	7552.886	6718.929	33422.77	29696.92	10	0	0	0
-31295.59	7551.608	13080.84	-178.0848	-63.91045	131.1639	0.01548654	0.9333667	0.03342314	-1476	0	0	7551.608	6717.512	33426.68	29692.2	10	0	0	0
